id,Title,Detail,Link,Update date,Publish date,Pillars,label
1363805,S'pore dedicates $25m to liver cancer research to find targeted treatments | The Straits Times,SINGAPORE - Singapore is dedicating $25 million to liver cancer research in a new five-year programme led by the National Cancer Centre Singapore ...,https://www.straitstimes.com/singapore/health/spore-dedicates-25m-to-liver-cancer-research-to-find-targeted-treatments?amp;utm_keyword=dlvr.it&amp;utm_medium=social-organic,13/6/2022 16:59,13/6/2022 16:38,I,Innovate to Advance
1363825,S'pore dedicates $25m to liver cancer research to find targeted treatments | The Straits Times,SINGAPORE - Singapore is dedicating $25 million to liver cancer research in a new five-year programme led by the National Cancer Centre Singapore ...,https://www.straitstimes.com/singapore/health/spore-dedicates-25m-to-liver-cancer-research-to-find-targeted-treatments,13/6/2022 17:35,13/6/2022 17:35,I,Innovate to Advance
1368129,Non-surgical procedure for dialysis patients piloted at Singapore General Hospital | The Straits Times,"SINGAPORE - Patients with end-stage kidney failure may soon no longer have to undergo surgery before beginning dialysis, thanks to a new procedure ...",https://www.straitstimes.com/singapore/health/non-surgical-procedure-for-dialysis-patients-piloted-at-spore-general-hospital?amp;utm_keyword=dlvr.it&amp;utm_medium=social-organic,28/6/2022 19:00,28/6/2022 18:38,C,Care to Heal
1368131,Non-surgical procedure for dialysis patients piloted at Singapore General Hospital | The Straits Times,"SINGAPORE - Patients with end-stage kidney failure may soon no longer have to undergo surgery before beginning dialysis, thanks to a new procedure ...",https://www.straitstimes.com/singapore/health/non-surgical-procedure-for-dialysis-patients-piloted-at-spore-general-hospital,28/6/2022 19:02,28/6/2022 19:02,C,Care to Heal
1357023,New programme to improve standard of emergency care outside of hospital  | The Straits Times,SINGAPORE - Every minute counts and a programme to improve the standard of emergency care a person receives before reaching a hospital has been ...,https://www.straitstimes.com/singapore/new-programme-to-improve-standard-of-emergency-care-outside-of-hospital-launched-by-temasek-and-singhealth,21/5/2022 13:01,21/5/2022 10:50,C,Care to Heal
1360535,Doc who helped make it safer to conduct Covid-19 swab tests among 3 recipients of LKY scholarship | The Straits Times,"SINGAPORE - Inspired by a close mentor, Dr Hairil Rizal Abdullah moved from Malaysia to Singapore in 2008 to join the local medical field.

The ...",https://www.straitstimes.com/singapore/doc-who-helped-make-covid-19-swab-test-safer-among-3-sporean-recipients-of-lky-scholarship,2/6/2022 15:36,2/6/2022 14:00,I,Innovate to Advance
1348669,"Shifting healthcare focus to preventive care is difficult but right thing to do, says PM Lee | The Straits Times",SINGAPORE - Shifting the healthcare system's focus from the reactive treatment of diseases when they surface to a more preventive one that relies ...,https://www.straitstimes.com/singapore/shifting-healthcare-focus-to-preventive-care-is-difficult-but-right-thing-to-do-says-pm-lee?amp;utm_keyword=dlvr.it&amp;utm_medium=social-organic,25/4/2022 18:21,24/4/2022 20:49,C,Care to Heal
1348673,PM Lee thanks healthcare workers 'constantly on front lines' in S'pore's Covid-19 battle | The Straits Times,SINGAPORE - The professionalism and commitment of healthcare workers in Singapore was a key reason that the country retained a degree of normalcy ...,https://www.straitstimes.com/singapore/pm-lee-thanks-healthcare-workers-constantly-on-the-front-lines-in-singapores-covid-19-battle,25/4/2022 18:25,24/4/2022 19:30,C,Care to Heal
1348679,"Shifting healthcare focus to preventive care is difficult but right thing to do, says PM Lee | The Straits Times",SINGAPORE - Shifting the healthcare system's focus from the reactive treatment of diseases when they surface to a more preventive one that relies ...,https://www.straitstimes.com/singapore/shifting-healthcare-focus-to-preventive-care-is-difficult-but-right-thing-to-do-says-pm-lee,25/4/2022 21:10,24/4/2022 23:11,C,Care to Heal
1348683,PM Lee thanks healthcare workers 'constantly on front lines' in S'pore's Covid-19 battle | The Straits Times,SINGAPORE - The professionalism and commitment of healthcare workers in Singapore was a key reason that the country retained a degree of normalcy ...,https://www.straitstimes.com/singapore/pm-lee-thanks-healthcare-workers-constantly-on-the-front-lines-in-singapores-covid-19-battle?amp;utm_keyword=dlvr.it&amp;utm_medium=social-organic,25/4/2022 18:38,24/4/2022 19:30,C,Care to Heal
