,id,Title,Detail,Link,Update date,Publish date,Pillars,label,text,Label,Label_Score
0,1363805,S'pore dedicates $25m to liver cancer research to find targeted treatments | The Straits Times,SINGAPORE - Singapore is dedicating $25 million to liver cancer research in a new five-year programme led by the National Cancer Centre Singapore ...,https://www.straitstimes.com/singapore/health/spore-dedicates-25m-to-liver-cancer-research-to-find-targeted-treatments?amp;utm_keyword=dlvr.it&amp;utm_medium=social-organic,13/6/2022 16:59,13/6/2022 16:38,I,Innovate to Advance,"SINGAPORE - Singapore is dedicating $25 million to liver cancer research in a new five-year programme led by the National Cancer Centre Singapore (NCCS) that aims to find the best treatments for the disease.

The team, comprising researchers from various institutions, will work to uncover biomarkers produced by the body or tumour so that specific therapies can be created to combat the most common type of liver cancer known as hepatocellular carcinoma (HCC).

The research programme and the $25 million grant for it were announced in a media briefing on Monday (June 13).

Liver cancer is tricky to tackle compared with other common cancers. Conventional treatments such as chemotherapy are less effective on liver cancer.

Hence, the research aims to bring about biomarker-driven clinical trials that will pave the way for more effective tailored treatments for liver cancer patients, said Professor Pierce Chow, senior consultant at Singapore General Hospital and NCCS' division of surgery and surgical oncology, who is leading the programme.

Earlier this month, the Ministry of Health's National Medical Research Council awarded the $25 million grant to the researchers, who are from NCCS, the Agency for Science, Technology and Research's Genome Institute of Singapore and Institute of Molecular and Cell Biology, the Cancer Science Institute of Singapore and Duke-NUS Medical School.

In Singapore, liver cancer is the third most common cause of cancer deaths in men and the fifth most common one in women.

It is difficult to diagnose the disease at early stages because the liver is an internal organ and once symptoms emerge, the cancer has already advanced, said Prof Chow.

The chances of the disease recurring are high. After removing the tumour in early-stage patients, there are no available therapies to prevent the tumour from returning.

""This inability to prevent the tumour from coming back even when diagnosed early (and with surgery) is the reason why the survival of patients with early liver cancer is not as good as those with early-stage breast, colorectal or lung cancer,"" noted Prof Chow.

The programme, called Precision Medicine In Liver Cancer Across An Asia-Pacific Network (PLANet 2.0), will involve two clinical studies.

In the first one, at least 30 liver cancer patients will undergo immunotherapy after surgery to reduce the chance of the tumour returning. Immunotherapy is a type of biological therapy that helps the immune system fight cancer better. The treatment is mainly given intravenously and orally.",Care to Heal,0.46386054158210754
1,1363825,S'pore dedicates $25m to liver cancer research to find targeted treatments | The Straits Times,SINGAPORE - Singapore is dedicating $25 million to liver cancer research in a new five-year programme led by the National Cancer Centre Singapore ...,https://www.straitstimes.com/singapore/health/spore-dedicates-25m-to-liver-cancer-research-to-find-targeted-treatments,13/6/2022 17:35,13/6/2022 17:35,I,Innovate to Advance,"SINGAPORE - Singapore is dedicating $25 million to liver cancer research in a new five-year programme led by the National Cancer Centre Singapore (NCCS) that aims to find the best treatments for the disease.

The team, comprising researchers from various institutions, will work to uncover biomarkers produced by the body or tumour so that specific therapies can be created to combat the most common type of liver cancer known as hepatocellular carcinoma (HCC).

The research programme and the $25 million grant for it were announced in a media briefing on Monday (June 13).

Liver cancer is tricky to tackle compared with other common cancers. Conventional treatments such as chemotherapy are less effective on liver cancer.

Hence, the research aims to bring about biomarker-driven clinical trials that will pave the way for more effective tailored treatments for liver cancer patients, said Professor Pierce Chow, senior consultant at Singapore General Hospital and NCCS' division of surgery and surgical oncology, who is leading the programme.

Earlier this month, the Ministry of Health's National Medical Research Council awarded the $25 million grant to the researchers, who are from NCCS, the Agency for Science, Technology and Research's Genome Institute of Singapore and Institute of Molecular and Cell Biology, the Cancer Science Institute of Singapore and Duke-NUS Medical School.

In Singapore, liver cancer is the third most common cause of cancer deaths in men and the fifth most common one in women.

It is difficult to diagnose the disease at early stages because the liver is an internal organ and once symptoms emerge, the cancer has already advanced, said Prof Chow.

The chances of the disease recurring are high. After removing the tumour in early-stage patients, there are no available therapies to prevent the tumour from returning.

""This inability to prevent the tumour from coming back even when diagnosed early (and with surgery) is the reason why the survival of patients with early liver cancer is not as good as those with early-stage breast, colorectal or lung cancer,"" noted Prof Chow.

The programme, called Precision Medicine In Liver Cancer Across An Asia-Pacific Network (PLANet 2.0), will involve two clinical studies.

In the first one, at least 30 liver cancer patients will undergo immunotherapy after surgery to reduce the chance of the tumour returning. Immunotherapy is a type of biological therapy that helps the immune system fight cancer better. The treatment is mainly given intravenously and orally.",Care to Heal,0.46386054158210754
2,1368129,Non-surgical procedure for dialysis patients piloted at Singapore General Hospital | The Straits Times,"SINGAPORE - Patients with end-stage kidney failure may soon no longer have to undergo surgery before beginning dialysis, thanks to a new procedure ...",https://www.straitstimes.com/singapore/health/non-surgical-procedure-for-dialysis-patients-piloted-at-spore-general-hospital?amp;utm_keyword=dlvr.it&amp;utm_medium=social-organic,28/6/2022 19:00,28/6/2022 18:38,C,Care to Heal,"SINGAPORE - Patients with end-stage kidney failure may soon no longer have to undergo surgery before beginning dialysis, thanks to a new procedure being piloted by Singapore General Hospital (SGH).

Associate Professor Tan Chieh Suai, head and senior consultant at SGH's department of renal medicine, announced this on Tuesday (June 28) and said that in 2020, 7,125 such patients - about three in four - chose to go for a form of dialysis known as haemodialysis, up from 4,270 in 2011.

Haemodialysis involves using a dialysis machine and an artificial kidney to clean the blood of kidney patients.

In order for the blood to be extracted from patients, however, an access point needs to be created in their body.

Prof Tan said the best way of doing this is through the creation of what is known as an arteriovenous fistula (AVF), which involves joining a vein and an artery together and causing blood from the artery to flow through the vein.

This increases blood flow in the vein, allowing blood to be extracted from it, explained Professor Tay Kiang Hiong, head and senior consultant at SGH's department of vascular and interventional radiology, who was also at Tuesday's media briefing.

Traditionally, an AVF would have to be created through a surgical procedure on the patient's arm.

However, about 80 per cent of patients with end-stage kidney failure here choose to put off such procedures for various reasons, including fear of surgery, being unable to accept their diagnosis, and worry about the scars left behind by the procedure, said Prof Tan.

This results in many of them having to be admitted for emergency dialysis using a catheter.

But this increases the risk of patients getting infected, as well as internal bleeding, said Prof Tan, adding that eventually, an AVF has to be created anyway in these patients.

The method piloted by SGH is much less invasive. Known as endovascular AVF (endoAVF), the non-surgical procedure can be done in either of two ways.

A needle is inserted in the vein under the skin and guided into an artery using ultrasound. A specially designed catheter with a clip is later inserted to link the vein and artery.

Alternatively, needles are inserted into the vein and artery, allowing two catheters - both of which have magnets attached - to be inserted as well.

The magnets will be attracted to each other, pulling the artery and vein together. An electrical current is then passed through the catheters, burning a hole between the artery and vein.

The method used depends on several factors, including the size of the patient's veins.",Educate to Empower,0.5666559934616089
3,1368131,Non-surgical procedure for dialysis patients piloted at Singapore General Hospital | The Straits Times,"SINGAPORE - Patients with end-stage kidney failure may soon no longer have to undergo surgery before beginning dialysis, thanks to a new procedure ...",https://www.straitstimes.com/singapore/health/non-surgical-procedure-for-dialysis-patients-piloted-at-spore-general-hospital,28/6/2022 19:02,28/6/2022 19:02,C,Care to Heal,"SINGAPORE - Patients with end-stage kidney failure may soon no longer have to undergo surgery before beginning dialysis, thanks to a new procedure being piloted by Singapore General Hospital (SGH).

Associate Professor Tan Chieh Suai, head and senior consultant at SGH's department of renal medicine, announced this on Tuesday (June 28) and said that in 2020, 7,125 such patients - about three in four - chose to go for a form of dialysis known as haemodialysis, up from 4,270 in 2011.

Haemodialysis involves using a dialysis machine and an artificial kidney to clean the blood of kidney patients.

In order for the blood to be extracted from patients, however, an access point needs to be created in their body.

Prof Tan said the best way of doing this is through the creation of what is known as an arteriovenous fistula (AVF), which involves joining a vein and an artery together and causing blood from the artery to flow through the vein.

This increases blood flow in the vein, allowing blood to be extracted from it, explained Professor Tay Kiang Hiong, head and senior consultant at SGH's department of vascular and interventional radiology, who was also at Tuesday's media briefing.

Traditionally, an AVF would have to be created through a surgical procedure on the patient's arm.

However, about 80 per cent of patients with end-stage kidney failure here choose to put off such procedures for various reasons, including fear of surgery, being unable to accept their diagnosis, and worry about the scars left behind by the procedure, said Prof Tan.

This results in many of them having to be admitted for emergency dialysis using a catheter.

But this increases the risk of patients getting infected, as well as internal bleeding, said Prof Tan, adding that eventually, an AVF has to be created anyway in these patients.

The method piloted by SGH is much less invasive. Known as endovascular AVF (endoAVF), the non-surgical procedure can be done in either of two ways.

A needle is inserted in the vein under the skin and guided into an artery using ultrasound. A specially designed catheter with a clip is later inserted to link the vein and artery.

Alternatively, needles are inserted into the vein and artery, allowing two catheters - both of which have magnets attached - to be inserted as well.

The magnets will be attracted to each other, pulling the artery and vein together. An electrical current is then passed through the catheters, burning a hole between the artery and vein.

The method used depends on several factors, including the size of the patient's veins.",Educate to Empower,0.5666559934616089
4,1357023,New programme to improve standard of emergency care outside of hospital  | The Straits Times,SINGAPORE - Every minute counts and a programme to improve the standard of emergency care a person receives before reaching a hospital has been ...,https://www.straitstimes.com/singapore/new-programme-to-improve-standard-of-emergency-care-outside-of-hospital-launched-by-temasek-and-singhealth,21/5/2022 13:01,21/5/2022 10:50,C,Care to Heal,"SINGAPORE - Every minute counts and a programme to improve the standard of emergency care a person receives before reaching a hospital has been launched.

Pre-hospital emergency care (PEC) systems are critical as they provide a sequence of rapid responses during events, such as a stroke or cardiac arrest, before the patient arrives at the hospital.

This can make a big difference to saving lives and ensuring better patient outcomes, especially since many medical emergencies occur outside of the hospital, such as at home or the workplace.

A first in South-east Asia, the three-year programme was jointly launched on Saturday (May 21) by SingHealth and Temasek Foundation, in partnership with the Asian Association for Emergency Medical Services and Pan-Asian Resuscitation Outcomes Study network (Paros).

The initiative will train 250 participants from Indonesia, Malaysia, the Philippines, Thailand and Vietnam in skills crucial for the recognition, intervention and treatment of emergency cases before they reach the hospital, Temasek Foundation and SingHealth said in a joint statement.

The programme, which starts on Saturday (May 21) and takes five days, is held online and in person at Singapore General Hospital (SGH). Another three days of training will be held in each partner country.

These participants include national disaster management officials, healthcare officials and workers, ambulance personnel, emergency first responders and leaders of community organisations.

Around 30 of them will be given further training to qualify as master trainers. They will be able to develop expertise in enhancing PEC systems in their countries or institutions at a system level, pegged to international benchmarks, and be equipped to train other professionals and community partners.

Speaking at the launch at SGH on Saturday, Senior Minister of State for Health and Manpower Koh Poh Koon, the guest of honour, said: “Beyond training, the programme will promote collaboration and sharing of international best practices among the partner countries.

“It also provides a platform for partner countries to develop joint initiatives to reduce morbidity and mortality, for research collaboration, and share ideas to strengthen their respective PEC systems.

“Ultimately, these efforts will enhance the PEC research and Emergency Medical Services (EMS) treatment capability in our region.”

For victims of medical emergencies to have the highest chance of survival, there needs to be an optimised system of care. This system is made up of the community, first responders, dispatchers, ambulance services and emergency departments working together to provide critical immediate response.

This is known as a chain of survival, and a strong PEC system is part of this chain.

In Singapore, the Ministry of Health (MOH) has been working to strengthen this chain and track improvements in overall survivor outcomes.

According to data from the unit for pre-hospital emergency care in MOH, more than 3,400 people suffered cardiac arrest outside the hospital - also known as out-of-hospital cardiac arrests (OHCA) - in 2020.

In 2011, there were about 1,300 cases.

OHCA cases in Singapore more than doubled in the last decade - from 27 cases per 100,000 people in 2011 to 60 cases every 100,00 people in 2020.",Care to Heal,0.6382467746734619
5,1360535,Doc who helped make it safer to conduct Covid-19 swab tests among 3 recipients of LKY scholarship | The Straits Times,"SINGAPORE - Inspired by a close mentor, Dr Hairil Rizal Abdullah moved from Malaysia to Singapore in 2008 to join the local medical field.

The ...",https://www.straitstimes.com/singapore/doc-who-helped-make-covid-19-swab-test-safer-among-3-sporean-recipients-of-lky-scholarship,2/6/2022 15:36,2/6/2022 14:00,I,Innovate to Advance,"SINGAPORE - Inspired by a close mentor, Dr Hairil Rizal Abdullah moved from Malaysia to Singapore in 2008 to join the local medical field.

The 42-year-old, who became a Singapore citizen in 2018, has since made significant contributions to the healthcare sector here.

He said his mentor, a clinician, inspired him to pursue a similar path she had taken - moving to Singapore and learning about healthcare here.

Dr Hairil told The Straits Times: ""Ninety per cent of who I am or what I have achieved is really because of my mentors, and it is really about standing on the shoulders of giants.

""What I am trying to do in my current career is to pay it forward and to try to inspire as many mentees as possible, just like how my mentors did.""

As a senior consultant at Singapore General Hospital's (SGH) department of anaesthesiology, he has been at the forefront of the Covid-19 crisis since it started more than two years ago.

In March 2020, Dr Hairil led a small team of doctors at SGH to develop a transparent and safer booth system for swab tests.

Swab Assurance For Everyone, or SG Safe, is a foldable transparent booth equipped with a pair of level-three biosafety gloves. This procedure makes it easier for healthcare workers to perform high-risk coronavirus swab tests.

The system was also deployed at foreign worker dormitories where large-scale testing was conducted.

Dr Hairil next plans to create the largest database of perioperative and critical care patients, and develop machine-learning models for predicting surgical complications.

Perioperative refers to the three phases of surgery - pre-surgery, during surgery and post-surgery.

Dr Hairil's strong sense of commitment to serving the healthcare sector earned him the Lee Kuan Yew Scholarship this year.

He is one of three people who were awarded the bond-free scholarship at a ceremony at InterContinental Hotel on Thursday (June 2).",Educate to Empower,0.7722154855728149
6,1348669,"Shifting healthcare focus to preventive care is difficult but right thing to do, says PM Lee | The Straits Times",SINGAPORE - Shifting the healthcare system's focus from the reactive treatment of diseases when they surface to a more preventive one that relies ...,https://www.straitstimes.com/singapore/shifting-healthcare-focus-to-preventive-care-is-difficult-but-right-thing-to-do-says-pm-lee?amp;utm_keyword=dlvr.it&amp;utm_medium=social-organic,25/4/2022 18:21,24/4/2022 20:49,C,Care to Heal,"SINGAPORE - Shifting the healthcare system's focus from the reactive treatment of diseases when they surface to a more preventive one that relies on regular screenings will be a huge challenge but is the right direction to take, Prime Minister Lee Hsien Loong said on Sunday (April 24).

""It will demand considerable commitment and effort from many stakeholders - not just from the Government,"" he said at the Singapore General Hospital's Lecture and Formal Dinner 2022, which was held at Shangri-La Singapore.

""It calls for a mindset shift and a fundamental reorientation of how our whole system works,"" he added of the overhaul.

As Singapore assesses its healthcare system post-Covid-19, the Government has said that it wants everyone to enrol with a family physician from next year, so that each person has a doctor who is familiar with his healthcare risk factors.

This will nip illnesses in the bud and keep more people healthy and out of the hospital, which is particularly important as Singapore confronts issues related to an ageing population and a possible increase of chronic diseases.

PM Lee said it will also lighten the burden on hospitals, making healthcare expenditure more sustainable, adding that it is ""clearly the right strategic direction to take"".

""(It) will shift decisively from hospital-centric care to a patient-centred preventive care. Focus on healthcare outcomes, starting early while the person is still healthy and tackling illness at its root, before it progresses to the point of needing treatment,"" he said.

The Ministry of Health (MOH) is due to release in the second half of the year a White Paper on what has been called the Healthier SG initiative.

The broad-based major strategy shift was announced earlier this year during the Budget debate, with MOH saying that Singapore needed to now turn its attention to a far more challenging pandemic of longer-term, chronic illnesses.

One of these is diabetes.

Singapore leads the world in diabetes-induced kidney failure, with 5.7 new patients diagnosed with the condition daily and more than 8,500 dialysis patients here.

A greater focus on preventive care would enable hospitals here to focus on complex conditions and emergency cases, while reducing healthcare expenditure, which is already expected to triple in the coming decade to almost $27 billion in 2030, MOH said.",Care to Heal,0.47730016708374023
7,1348673,PM Lee thanks healthcare workers 'constantly on front lines' in S'pore's Covid-19 battle | The Straits Times,SINGAPORE - The professionalism and commitment of healthcare workers in Singapore was a key reason that the country retained a degree of normalcy ...,https://www.straitstimes.com/singapore/pm-lee-thanks-healthcare-workers-constantly-on-the-front-lines-in-singapores-covid-19-battle,25/4/2022 18:25,24/4/2022 19:30,C,Care to Heal,"SINGAPORE - The professionalism and commitment of healthcare workers in Singapore was a key reason that the country retained a degree of normalcy during the two extraordinary Covid-19 years, said Prime Minister Lee Hsien Loong on Sunday (April 24).

Speaking at the Singapore General Hospital's Lecture and Formal Dinner 2022, PM Lee paid tribute to the more than 62,000 healthcare workers who bore the brunt of the pandemic.

This came ahead of the Republic lifting most of its Covid-19 restrictions and transitioning to living with the coronavirus on Tuesday.

""They were stretched to the limit but maintained the highest standards,"" PM Lee said at the event held at Shangri-La Singapore. ""They were constantly on the front lines, determined and resilient, even at the start when we understood little of the virus.

He added that doctors, nurses and other volunteers were ""fearless"" in executing their duties in the early days of the pandemic when outbreaks occurred in many migrant worker dormitories.

Healthcare workers were also among the first to brook the wearing of full personal protective equipment for entire days and among the last to cease rostered routine Covid-19 testing.

""These two years have been challenging for them, and such a pace is clearly unsustainable in normal times. So we must continue our efforts across the board - at the institutions, clusters, ministry and also in the community - to prevent fatigue and burnout among our healthcare workers,"" PM Lee said.

In the past two years, many healthcare workers were unable to take leave and worked long hours every day, often redeployed at short notice to new roles.

Studies of healthcare workers showed signs of increased burnout and psychological distress. Resignation rates went up, with 1,500 people quitting in the first half of last year compared with a pre-pandemic annual average of 2,000.

With the coronavirus now abating, staff have begun to be rostered for leave.

PM Lee said the authorities have done their best to give healthcare workers some respite and breaks from their duties to recover and recharge.

He added: ""We must take good care of their welfare and well-being, if we expect them to continue doing their best for all of us.""",Educate to Empower,0.7431995272636414
8,1348679,"Shifting healthcare focus to preventive care is difficult but right thing to do, says PM Lee | The Straits Times",SINGAPORE - Shifting the healthcare system's focus from the reactive treatment of diseases when they surface to a more preventive one that relies ...,https://www.straitstimes.com/singapore/shifting-healthcare-focus-to-preventive-care-is-difficult-but-right-thing-to-do-says-pm-lee,25/4/2022 21:10,24/4/2022 23:11,C,Care to Heal,"SINGAPORE - Shifting the healthcare system's focus from the reactive treatment of diseases when they surface to a more preventive one that relies on regular screenings will be a huge challenge but is the right direction to take, Prime Minister Lee Hsien Loong said on Sunday (April 24).

""It will demand considerable commitment and effort from many stakeholders - not just from the Government,"" he said at the Singapore General Hospital's Lecture and Formal Dinner 2022, which was held at Shangri-La Singapore.

""It calls for a mindset shift and a fundamental reorientation of how our whole system works,"" he added of the overhaul.

As Singapore assesses its healthcare system post-Covid-19, the Government has said that it wants everyone to enrol with a family physician from next year, so that each person has a doctor who is familiar with his healthcare risk factors.

This will nip illnesses in the bud and keep more people healthy and out of the hospital, which is particularly important as Singapore confronts issues related to an ageing population and a possible increase of chronic diseases.

PM Lee said it will also lighten the burden on hospitals, making healthcare expenditure more sustainable, adding that it is ""clearly the right strategic direction to take"".

""(It) will shift decisively from hospital-centric care to a patient-centred preventive care. Focus on healthcare outcomes, starting early while the person is still healthy and tackling illness at its root, before it progresses to the point of needing treatment,"" he said.

The Ministry of Health (MOH) is due to release in the second half of the year a White Paper on what has been called the Healthier SG initiative.

The broad-based major strategy shift was announced earlier this year during the Budget debate, with MOH saying that Singapore needed to now turn its attention to a far more challenging pandemic of longer-term, chronic illnesses.

One of these is diabetes.

Singapore leads the world in diabetes-induced kidney failure, with 5.7 new patients diagnosed with the condition daily and more than 8,500 dialysis patients here.

A greater focus on preventive care would enable hospitals here to focus on complex conditions and emergency cases, while reducing healthcare expenditure, which is already expected to triple in the coming decade to almost $27 billion in 2030, MOH said.",Care to Heal,0.47730016708374023
9,1348683,PM Lee thanks healthcare workers 'constantly on front lines' in S'pore's Covid-19 battle | The Straits Times,SINGAPORE - The professionalism and commitment of healthcare workers in Singapore was a key reason that the country retained a degree of normalcy ...,https://www.straitstimes.com/singapore/pm-lee-thanks-healthcare-workers-constantly-on-the-front-lines-in-singapores-covid-19-battle?amp;utm_keyword=dlvr.it&amp;utm_medium=social-organic,25/4/2022 18:38,24/4/2022 19:30,C,Care to Heal,"SINGAPORE - The professionalism and commitment of healthcare workers in Singapore was a key reason that the country retained a degree of normalcy during the two extraordinary Covid-19 years, said Prime Minister Lee Hsien Loong on Sunday (April 24).

Speaking at the Singapore General Hospital's Lecture and Formal Dinner 2022, PM Lee paid tribute to the more than 62,000 healthcare workers who bore the brunt of the pandemic.

This came ahead of the Republic lifting most of its Covid-19 restrictions and transitioning to living with the coronavirus on Tuesday.

""They were stretched to the limit but maintained the highest standards,"" PM Lee said at the event held at Shangri-La Singapore. ""They were constantly on the front lines, determined and resilient, even at the start when we understood little of the virus.

He added that doctors, nurses and other volunteers were ""fearless"" in executing their duties in the early days of the pandemic when outbreaks occurred in many migrant worker dormitories.

Healthcare workers were also among the first to brook the wearing of full personal protective equipment for entire days and among the last to cease rostered routine Covid-19 testing.

""These two years have been challenging for them, and such a pace is clearly unsustainable in normal times. So we must continue our efforts across the board - at the institutions, clusters, ministry and also in the community - to prevent fatigue and burnout among our healthcare workers,"" PM Lee said.

In the past two years, many healthcare workers were unable to take leave and worked long hours every day, often redeployed at short notice to new roles.

Studies of healthcare workers showed signs of increased burnout and psychological distress. Resignation rates went up, with 1,500 people quitting in the first half of last year compared with a pre-pandemic annual average of 2,000.

With the coronavirus now abating, staff have begun to be rostered for leave.

PM Lee said the authorities have done their best to give healthcare workers some respite and breaks from their duties to recover and recharge.

He added: ""We must take good care of their welfare and well-being, if we expect them to continue doing their best for all of us.""",Educate to Empower,0.7431995272636414
